Institution;Number;Percent;Amount;Percent;Average Amount
Hôpital Rivière-des-Prairies (Montréal);1;.012;60000;.003;60000
Hôtel-Dieu de Lévis (Lévis, Québec);3;.035;350563;.018;116854
Hamilton General Hospital (Ontario);1;.012;89827;.005;89827
Hamilton Niagara Haldimand Brant LHIN (Grimsby, Ontario);2;.024;87792;.004;43896
Harvard University (Massachusetts);19;.224;873666;.045;45982
Health Canada (Ottawa);2;.024;607217;.031;303609
Health Law Institute, Dalhousie University;1;.012;244800;.013;244800
Health Sciences North (Sudbury);2;.024;790580;.04;395290
Health Sciences North Research Institute (Sudbury, ON);1;.012;70000;.004;70000
Health Standards Organization (Ottawa, ON);1;.012;35000;.002;35000
Hellen Keller International (New York, NY);1;.012;6000;0;6000
Helmholtz Center Munich (Germany);1;.012;45417;.002;45417
Holland Bloorview Kids Rehabilitation Hospital (Toronto);12;.141;2459969;.126;204997
Horizon Health Network (New Brunswick);1;.012;81250;.004;81250
Hospital for Sick Children (Toronto);261;3.076;75679070;3.87;289958
Hospital for Sick Children Foundation;2;.024;339272;.017;169636
Hotchkiss Brain Institute (University of Calgary);4;.047;122807;.006;30702
Imperial College (London, England);1;.012;70000;.004;70000
INRS - (Québec, QC);12;.141;2682597;.137;223550
INRS-Institut Armand-Frappier (Laval);11;.13;2575766;.132;234161
INSERM (Paris,France);1;.012;33750;.002;33750
Institut de recherche en santé publique (Montréal, Québec);2;.024;259533;.013;129767
Institut de recherches cliniques de Montréal;41;.483;17679244;.904;431201
Institut du cancer de Montréal;1;.012;1010;0;1010
Institut national de santé publique du Québec;4;.047;230204;.012;57551
Institut national d'excellence en santé et en services sociaux (INESSS);8;.094;319378;.016;39922
Institut Nazareth et Louis-Braille (Longueuil, QC);1;.012;38083;.002;38083
Institut Pasteur (Paris, France);1;.012;70000;.004;70000
Institut universitaire de cardiologie et de pneumologie de Québec - U Laval;23;.271;4868781;.249;211686
Institut universitaire en santé mentale de Québec (Québec, QC);4;.047;713147;.036;178287
Institute for Aging Research (Boston, MA);1;.012;116250;.006;116250
Institute for Circumpolar Health Research (Yellowknife, NWT);3;.035;1146075;.059;382025
Institute for Clinical Evaluative Sciences-Toronto;16;.189;3329767;.17;208110
Institute for Research in Immunology and Cancer (Montreal, QC);11;.13;4114934;.21;374085
Institute for Work & Health (Toronto);6;.071;485612;.025;80935
Institute of Cardiovascular Sciences (Winnipeg, MB);2;.024;837237;.043;418619
Institute of Population, Health and Development (Vietnam);1;.012;420560;.022;420560
International Collaboration on Repair Discoveries (Vancouver, BC);1;.012;45000;.002;45000
Inuit Tapiriit Kanatami (Ottawa);1;.012;250000;.013;250000
IWK Health Centre (Halifax);14;.165;2461258;.126;175804
Jewish Rehabilitation Hospital (Laval, QC);1;.012;51667;.003;51667
Johns Hopkins Hospital (Baltimore, Maryland);1;.012;50000;.003;50000
Johns Hopkins University (Baltimore, Maryland);2;.024;140000;.007;70000
Joseph Brant Memorial Hospital (Hamilton);1;.012;88083;.005;88083
Justice Institute of British Columbia (New Westminster, BC);2;.024;60000;.003;30000
Kahnawake Schools Diabetes Prevention Project (Quebec);1;.012;2800;0;2800
Karolinska Institutet (Stockholm);5;.059;221000;.011;44200
Keele University (England);1;.012;6000;0;6000
Keenan Research Centre (Toronto, ON);4;.047;1579105;.081;394776
King's College London (UK);3;.035;47000;.002;15667
Kingston Health Sciences Centre (Kingston, Ontario);1;.012;475394;.024;475394
Krembil Research Institute (Toronto);14;.165;2730569;.14;195041
Kwame Nkrumah University of Science and Technology (Ghana);1;.012;148219;.008;148219
La Cité collégiale (Ottawa, ON);1;.012;25000;.001;25000
Lady Davis Institute for Medical Research (Mtl);60;.707;14627416;.748;243790
Lakehead University (Thunder Bay, Ontario);11;.13;582792;.03;52981
Laurentian University of Sudbury;6;.071;997500;.051;166250
Lawrence Berkeley National Laboratory (Berkeley, California);1;.012;50000;.003;50000
Leibniz-Institut für Molekulare Pharmakologie (Berlin, Germany);1;.012;140000;.007;140000
Li Ka Shing Knowledge Institute (Toronto, ON);1;.012;120000;.006;120000
Liryc (France);1;.012;140000;.007;140000
Liverpool John Moores University;1;.012;6000;0;6000
Loa Friends Hospital for Children (Lao People's Democratic Republic);1;.012;6000;0;6000
London Health Sciences Centre Res. Inc. (Ont.);21;.248;6892166;.352;328198
London Regional Cancer Program;1;.012;313650;.016;313650
London School of Hygiene & Tropical Medicine (UK);2;.024;132500;.007;66250
Loughborough University (UK);1;.012;6000;0;6000
Lunenfeld-Tanenbaum Research Institute  (Toronto);34;.401;14467399;.74;425512
Makerere University (Kampala, Uganda);1;.012;6000;0;6000
Makivik Corporation (Kuujjuaq, Quebec);1;.012;125582;.006;125582
Manitoba Centre for Health Policy;1;.012;436552;.022;436552
Manitoba Health;1;.012;88083;.005;88083
Massachusetts General Hospital (Boston);10;.118;561250;.029;56125
Massachusetts Institute of Technology;5;.059;301250;.015;60250
Max Planck Institute for Heart and Lung Research (Germany);1;.012;66250;.003;66250
Max Planck Institute for Metabolism Research (Koln, Germany);1;.012;70000;.004;70000
Max-Planck-Institut fur Psychiatrie (Germany);2;.024;180833;.009;90417
McGill University;542;6.388;116364074;5.95;214694
McMaster Children's Hospital (Hamilton, ON);1;.012;35995;.002;35995
McMaster University;375;4.42;107602508;5.502;286940
Medical University of South Carolina;2;.024;66000;.003;33000
Medizinische Universitat Zu Lubeck (Germany);1;.012;38750;.002;38750
Memorial Sloan Kettering Cancer Center (New York);2;.024;128750;.007;64375
Memorial University of Newfoundland;55;.648;8698194;.445;158149
Ministry of Public Health (Thailand);1;.012;6000;0;6000
Miriam Foundation (Mount Royal, QC);1;.012;20417;.001;20417
MitoCanada (Burlington, ON);1;.012;19375;.001;19375
Mongolian National University of Medical Sciences (Spain);1;.012;272213;.014;272213
Montreal Children's Hospital;3;.035;355601;.018;118534
Montreal General Hospital;1;.012;262090;.013;262090
Montreal Heart Institute;29;.342;6780364;.347;233806
Montreal Neurological Hospital (Montreal);1;.012;0;0;0
Montreal Neurological Institute;25;.295;6259470;.32;250379
Mount Royal University (Calgary, Alberta);1;.012;3332;0;3332
Mount Saint Vincent University (Halifax);5;.059;888076;.045;177615
Mount Sinai Hospital (New York);3;.035;106250;.005;35417
Mount Sinai School of Medicine (New York);2;.024;200000;.01;100000
National Association of Friendship Centres (Ottawa, Ontario);1;.012;235184;.012;235184
National Cancer Institute (Bethesda, Maryland);1;.012;100000;.005;100000
National Institute of Allergy and Infectious Diseases;1;.012;6000;0;6000
National Institute of Environmental Health Sciences (North Carolina);1;.012;11250;.001;11250
National Institute on Drug Abuse (Baltimore);1;.012;30000;.002;30000
National Institutes of Health (Bethesda);2;.024;127500;.007;63750
National University of Ireland (Kildare);1;.012;106250;.005;106250
Native Women's Association of Canada (Ottawa);1;.012;230632;.012;230632
Netherlands Cancer Institute;1;.012;140000;.007;140000
New Brunswick Social Development;1;.012;93330;.005;93330
New York Genome Center (New York, NY);1;.012;140000;.007;140000
New York University (New York, NY);1;.012;16250;.001;16250
NICHD (Bethesda, Maryland);1;.012;66250;.003;66250
Nipissing University (North Bay);2;.024;269950;.014;134975
North York General Hospital (Toronto);5;.059;735527;.038;147105
Northern Health Authority (Terrace, BC);2;.024;61958;.003;30979
Northern Ontario School of Medicine - West Campus;2;.024;228335;.012;114168
Northwestern University (Illinois);1;.012;42500;.002;42500
Nova Scotia Department of Health and Wellness (Halifax);1;.012;13125;.001;13125
Nova Scotia Health Authority (Halifax);21;.248;8195175;.419;390246
NSCAD University, Nova Scotia College of Art and Design;1;.012;17500;.001;17500
Nunavut Health and Social Services;1;.012;354448;.018;354448
Nuu-Chah-Nulth Tribal Council (British Columbia);1;.012;1012500;.052;1012500
NYU School of Medicine (New York, NY);1;.012;116250;.006;116250
Obesity Canada (Edmonton, AB);2;.024;34920;.002;17460
Ontario Agency for Health Protection and Promotion (Toronto, Ontario);15;.177;2059260;.105;137284
Ontario Cancer Institute (Toronto);5;.059;920044;.047;184009
Ontario Centre of Excellence for Child and Youth Mental Health (Ottawa, ON);1;.012;88083;.005;88083
Ontario HIV Treatment Network;1;.012;159108;.008;159108
Ontario Hospital Association (Toronto);1;.012;35000;.002;35000
Ontario Institute for Cancer Research (Toronto, Ontario);7;.083;2591583;.133;370226
Ontario Neurotrauma Foundation;2;.024;101208;.005;50604
Ontario Public Health Association (Toronto);1;.012;14980;.001;14980
Ontario Spor Support Unit (Toronto, Ontario);1;.012;4861844;.249;4861844
Oregon Health & Science University (Portland);1;.012;21042;.001;21042
Ottawa Heart Institute Research Corporation (Ontario);8;.094;1592855;.081;199107
Ottawa Hospital General Campus (Ottawa Ontario);3;.035;1025866;.052;341955
Ottawa Hospital Research Institute;135;1.591;34408928;1.76;254881
Ottawa Public Health (Ontario);1;.012;45000;.002;45000
Pacific AIDS Network (Vancouver, BC);1;.012;300000;.015;300000
Pauktuutit Inuit Women of Canada (Ottawa);1;.012;670650;.034;670650
Population Health Research Institute (Hamilton, ON);7;.083;2651309;.136;378758
Princess Margaret Cancer Centre (Toronto);26;.306;5512979;.282;212038
Providence Health Care (Vancouver);1;.012;131250;.007;131250
Providence Health Care Research Institute (Vancouver, BC);4;.047;4052076;.207;1013019
Provincial Health Services Authority (British Columbia);1;.012;33833;.002;33833
Public Health Agency of Canada;3;.035;53957;.003;17986
Qaujigiartiit Health Research Centre (NU);1;.012;1050000;.054;1050000
Quebec SPOR SUPPORT Unit (Montreal, QC);1;.012;137700;.007;137700
Queen Mary University of London;1;.012;6000;0;6000
Queen's University (Kingston, Ontario);135;1.591;25901702;1.325;191864
Red River College (Winnipeg, Manitoba);2;.024;787157;.04;393579
Research Institute of the McGill University Health Centre;198;2.334;49653425;2.539;250775
Robarts Research Institute - U.W.O. (London, Ont.);5;.059;2396713;.123;479343
Rockefeller Research Laboratory (New York);1;.012;50000;.003;50000
Rotman Research Institute (Toronto, Ontario);4;.047;13081113;.669;3270278
Royal Alexandra Hospital (Edmonton);1;.012;0;0;0
Royal Ottawa Health Care Group (Ontario);2;.024;199999;.01;100000
Royal Roads University (Victoria, BC);2;.024;495183;.025;247592
Rutgers University (New Jersey);1;.012;1500;0;1500
Ryerson University (Toronto);45;.53;6059009;.31;134645
Sahtu Renewable Resources Board (Tuli´t'a, NT);1;.012;131250;.007;131250
Saint Elizabeth Health Care (Markham, Ontario);3;.035;154292;.008;51431
Saint John Regional Hospital (New Brunswick);1;.012;160000;.008;160000
Saint Mary's University (Nova Scotia);3;.035;500276;.026;166759
Saint Paul University (Ottawa);1;.012;17500;.001;17500
Sanford-Burnham Medical Research Institute (La Jolla, CA);1;.012;100000;.005;100000
Saskatchewan Health Authority (Saskatoon);2;.024;321038;.016;160519
Saskatchewan Ministry of Health;1;.012;35000;.002;35000
Schlegel-U of Waterloo Research Institute for Aging (Kitchener, Ontario);1;.012;197370;.01;197370
